Time,Emotion,Image
9/5/2024 11:12,Angry: 0 Disgust: 0 Fear: 1 Happy: 2 Neutral: 0 Sad: 1 Surprise: 0 ,
9/5/2024 14:54,Angry: 0 Disgust: 0 Fear: 3 Happy: 0 Neutral: 2 Sad: 0 Surprise: 0 ,
9/5/2024 15:14,Fear: 2  Angry: 0  Disgust: 0  Happy: 2  Neutral: 0  Sad: 0  Surprise: 0  ,
21:16 15-05-2024,Sad: 22 Angry: 4 Disgust: 0 Fear: 1 Happy: 6 Neutral: 1 Surprise: 6 ,
21:28 15-05-2024,Angry: 0 Disgust: 0 Fear: 0 Happy: 0 Neutral: 0 Sad: 0 Surprise: 0 ,
12:30 17-05-2024,Angry: 0 Disgust: 0 Fear: 0 Happy: 2 Neutral: 0 Sad: 4 Surprise: 0 ,
13:20 17-05-2024,Angry: 0 Disgust: 0 Fear: 0 Happy: 0 Neutral: 1 Sad: 1 Surprise: 0 ,
13:20 17-05-2024,Sad: 2 Angry: 0 Disgust: 0 Fear: 0 Happy: 0 Neutral: 2 Surprise: 0 ,
21:08 17-05-2024,Angry: 0 Disgust: 0 Fear: 0 Happy: 13 Neutral: 17 Sad: 12 Surprise: 0 ,
11:17 28-05-2024,Angry: 0 Disgust: 0 Fear: 1 Happy: 1 Neutral: 6 Sad: 0 Surprise: 0 ,
11:36 28-05-2024,Angry: 0 Disgust: 0 Fear: 1 Happy: 1 Neutral: 7 Sad: 0 Surprise: 1 ,
22:07 31-05-2024,Angry: 0 Disgust: 0 Fear: 0 Happy: 7 Neutral: 4 Sad: 3 Surprise: 0 ,
09:08 01-06-2024,Neutral: 37 Angry: 0 Disgust: 0 Fear: 1 Happy: 17 Sad: 2 Surprise: 5 ,
